pe506	Lasso, Orlando di
pe41024944	Staromiejski, J.
pe50041498	Fr. V. G.
pe50041781	Śmietański, Emil Władysław
pe50041899	Musiałowski, Jan
pe50043063	Złotaszewski, Józef
pe50044409	Studziński, Piotr
pe50045891	Flasza, Tomasz
pe50045913	Zieleniewicz, Mathias
pe50046000	Hlonowski, J.
pe50046026	Rychling, Wincenty Wacław
